id,plot,block,plotSize,exposition,side,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,vegetationCov,botanist,accumulatedCov,speciesRichness,shannon
L2_13_2021,L2_13,2,4,south,land,4,0,30,1,hay_meadow,4,2021,70,Markus Bauer,71,17,2.291826931
L2_14_2018,L2_14,2,4,south,land,4,0,30,3,dry_grassland,4,2018,80,Jakob Huber,86.5,5,0.326391818
L2_14_2019,L2_14,2,4,south,land,4,0,30,3,dry_grassland,4,2019,70,Linda Weggler,75.5,15,1.505319127
L2_14_2020,L2_14,2,4,south,land,4,0,30,3,dry_grassland,4,2020,80,Jakob Huber,96.5,20,1.492745294
L2_14_2021,L2_14,2,4,south,land,4,0,30,3,dry_grassland,4,2021,90,Markus Bauer,96.5,16,1.166520102
L2_15_2018,L2_15,2,4,south,land,4,0,30,4,dry_grassland,8,2018,85,Jakob Huber,91,4,0.280316658
L2_15_2019,L2_15,2,4,south,land,4,0,30,4,dry_grassland,8,2019,80,Linda Weggler,81,17,1.926776269
L2_15_2020,L2_15,2,4,south,land,4,0,30,4,dry_grassland,8,2020,70,Jakob Huber,65,21,2.176845314
L2_15_2021,L2_15,2,4,south,land,4,0,30,4,dry_grassland,8,2021,60,Markus Bauer,69,13,2.113514073
L2_16_2018,L2_16,2,4,south,land,4,0,30,2,hay_meadow,8,2018,80,Jakob Huber,86,4,0.429413433
L2_16_2019,L2_16,2,4,south,land,4,0,30,2,hay_meadow,8,2019,80,Linda Weggler,87,19,1.83611122
L2_16_2020,L2_16,2,4,south,land,4,0,30,2,hay_meadow,8,2020,85,Jakob Huber,92.5,14,1.090178577
L2_16_2021,L2_16,2,4,south,land,4,0,30,2,hay_meadow,8,2021,70,Markus Bauer,80.5,20,2.331928995
L2_17_2018,L2_17,2,4,south,land,5,25,30,4,dry_grassland,8,2018,65,Jakob Huber,70,9,0.780837686
L2_17_2019,L2_17,2,4,south,land,5,25,30,4,dry_grassland,8,2019,80,Linda Weggler,82.5,13,1.056308732
L2_17_2020,L2_17,2,4,south,land,5,25,30,4,dry_grassland,8,2020,80,Jakob Huber,88,12,0.836194566
L2_17_2021,L2_17,2,4,south,land,5,25,30,4,dry_grassland,8,2021,70,Markus Bauer,78,13,1.931897276
L2_18_2018,L2_18,2,4,south,land,5,25,30,1,hay_meadow,4,2018,50,Jakob Huber,55.5,10,1.117088496
L2_18_2019,L2_18,2,4,south,land,5,25,30,1,hay_meadow,4,2019,70,Linda Weggler,74,17,1.945978703
L2_18_2020,L2_18,2,4,south,land,5,25,30,1,hay_meadow,4,2020,65,Jakob Huber,69,17,1.36244349
L2_18_2021,L2_18,2,4,south,land,5,25,30,1,hay_meadow,4,2021,80,Markus Bauer,85,16,1.98104456
L2_19_2018,L2_19,2,4,south,land,5,25,30,3,dry_grassland,4,2018,30,Jakob Huber,33.5,11,1.544300064
L2_19_2019,L2_19,2,4,south,land,5,25,30,3,dry_grassland,4,2019,60,Linda Weggler,64.5,15,1.869764925
L2_19_2020,L2_19,2,4,south,land,5,25,30,3,dry_grassland,4,2020,55,Jakob Huber,50,17,2.260009039
L2_19_2021,L2_19,2,4,south,land,5,25,30,3,dry_grassland,4,2021,80,Markus Bauer,89.5,13,1.729123759
L2_20_2018,L2_20,2,4,south,land,5,25,30,2,hay_meadow,8,2018,75,Jakob Huber,76,4,0.466682336
L2_20_2019,L2_20,2,4,south,land,5,25,30,2,hay_meadow,8,2019,70,Linda Weggler,71,20,1.918767314
L2_20_2020,L2_20,2,4,south,land,5,25,30,2,hay_meadow,8,2020,75,Jakob Huber,83,18,0.805627607
L2_20_2021,L2_20,2,4,south,land,5,25,30,2,hay_meadow,8,2021,80,Markus Bauer,80,18,1.931191975
L2_21_2018,L2_21,2,4,south,land,6,50,30,1,hay_meadow,4,2018,70,Jakob Huber,76.5,5,0.503025346
L2_21_2019,L2_21,2,4,south,land,6,50,30,1,hay_meadow,4,2019,60,Linda Weggler,70,21,2.144685292
L2_21_2020,L2_21,2,4,south,land,6,50,30,1,hay_meadow,4,2020,75,Jakob Huber,85.5,18,2.2801864
L2_21_2021,L2_21,2,4,south,land,6,50,30,1,hay_meadow,4,2021,90,Markus Bauer,105.5,16,1.929001902
L2_22_2018,L2_22,2,4,south,land,6,50,30,2,hay_meadow,8,2018,55,Jakob Huber,55.5,5,0.410858571
L2_22_2019,L2_22,2,4,south,land,6,50,30,2,hay_meadow,8,2019,60,Linda Weggler,65.5,18,2.102504812
L2_22_2020,L2_22,2,4,south,land,6,50,30,2,hay_meadow,8,2020,65,Jakob Huber,61,16,2.290036993
L2_22_2021,L2_22,2,4,south,land,6,50,30,2,hay_meadow,8,2021,60,Markus Bauer,64.5,16,2.185262379
L2_23_2018,L2_23,2,4,south,land,6,50,30,3,dry_grassland,4,2018,60,Jakob Huber,62,5,0.18722504
L2_23_2019,L2_23,2,4,south,land,6,50,30,3,dry_grassland,4,2019,70,Linda Weggler,66.5,12,2.054215958
L2_23_2020,L2_23,2,4,south,land,6,50,30,3,dry_grassland,4,2020,60,Jakob Huber,70.5,17,1.928849816
L2_23_2021,L2_23,2,4,south,land,6,50,30,3,dry_grassland,4,2021,70,Markus Bauer,84,17,2.026951963
L2_24_2018,L2_24,2,4,south,land,6,50,30,4,dry_grassland,8,2018,75,Jakob Huber,77.5,6,0.194423219
L2_24_2019,L2_24,2,4,south,land,6,50,30,4,dry_grassland,8,2019,60,Linda Weggler,64,17,1.794779288
