id,plot,block,substrateType,sandRatio,substrateDepth,seedmixType,targetType,seedDensity,surveyYear,botanist,accumulatedCov,speciesRichness,shannon,surveyYearF,botanistYear
L1_18_2021,L1_18,1,5,25,30,3,dry_grassland,4,2021,Markus_Bauer,92,17,1.914320761,2021,Markus_Bauer2021
L1_19_2018,L1_19,1,5,25,30,4,dry_grassland,8,2018,Jakob_Huber,52.5,6,0.268083983,2018,Jakob_Huber2018
L1_19_2019,L1_19,1,5,25,30,4,dry_grassland,8,2019,Linda_Weggler,81.5,16,1.644227847,2019,Linda_Weggler2019
L1_19_2020,L1_19,1,5,25,30,4,dry_grassland,8,2020,Jakob_Huber,92,15,1.429295156,2020,Jakob_Huber2020
L1_19_2021,L1_19,1,5,25,30,4,dry_grassland,8,2021,Markus_Bauer,109,12,1.692866923,2021,Markus_Bauer2021
L1_20_2018,L1_20,1,5,25,30,2,hay_meadow,8,2018,Jakob_Huber,50.5,2,0.055546075,2018,Jakob_Huber2018
L1_20_2019,L1_20,1,5,25,30,2,hay_meadow,8,2019,Linda_Weggler,87,12,1.195312909,2019,Linda_Weggler2019
L1_20_2020,L1_20,1,5,25,30,2,hay_meadow,8,2020,Jakob_Huber,90,18,1.660172113,2020,Jakob_Huber2020
L1_20_2021,L1_20,1,5,25,30,2,hay_meadow,8,2021,Markus_Bauer,89.5,16,1.980446729,2021,Markus_Bauer2021
L1_21_2018,L1_21,1,6,50,30,2,hay_meadow,8,2018,Jakob_Huber,35,9,1.046035547,2018,Jakob_Huber2018
L1_21_2019,L1_21,1,6,50,30,2,hay_meadow,8,2019,Linda_Weggler,60,13,1.17496985,2019,Linda_Weggler2019
L1_21_2020,L1_21,1,6,50,30,2,hay_meadow,8,2020,Jakob_Huber,77.5,15,1.407443621,2020,Jakob_Huber2020
L1_21_2021,L1_21,1,6,50,30,2,hay_meadow,8,2021,Markus_Bauer,92,24,2.483521736,2021,Markus_Bauer2021
L1_22_2018,L1_22,1,6,50,30,4,dry_grassland,8,2018,Jakob_Huber,63,8,0.549943088,2018,Jakob_Huber2018
L1_22_2019,L1_22,1,6,50,30,4,dry_grassland,8,2019,Linda_Weggler,57.5,13,1.344186736,2019,Linda_Weggler2019
L1_22_2020,L1_22,1,6,50,30,4,dry_grassland,8,2020,Jakob_Huber,75.5,14,1.984789344,2020,Jakob_Huber2020
L1_22_2021,L1_22,1,6,50,30,4,dry_grassland,8,2021,Markus_Bauer,106,19,2.049396362,2021,Markus_Bauer2021
L1_23_2018,L1_23,1,6,50,30,1,hay_meadow,4,2018,Jakob_Huber,61.5,5,0.581032615,2018,Jakob_Huber2018
L1_23_2019,L1_23,1,6,50,30,1,hay_meadow,4,2019,Linda_Weggler,58.5,8,1.267249219,2019,Linda_Weggler2019
L1_23_2020,L1_23,1,6,50,30,1,hay_meadow,4,2020,Jakob_Huber,75,16,2.010514557,2020,Jakob_Huber2020
L1_23_2021,L1_23,1,6,50,30,1,hay_meadow,4,2021,Markus_Bauer,94.5,15,2.060206975,2021,Markus_Bauer2021
L1_24_2018,L1_24,1,6,50,30,3,dry_grassland,4,2018,Jakob_Huber,64.5,8,0.782472548,2018,Jakob_Huber2018
L1_24_2019,L1_24,1,6,50,30,3,dry_grassland,4,2019,Linda_Weggler,80.5,9,0.931155531,2019,Linda_Weggler2019
L1_24_2020,L1_24,1,6,50,30,3,dry_grassland,4,2020,Jakob_Huber,95,13,0.888363694,2020,Jakob_Huber2020
L1_24_2021,L1_24,1,6,50,30,3,dry_grassland,4,2021,Markus_Bauer,100,19,1.7866163,2021,Markus_Bauer2021
L2_01_2018,L2_01,2,1,0,15,2,hay_meadow,8,2018,Jakob_Huber,45,8,0.543061801,2018,Jakob_Huber2018
L2_01_2019,L2_01,2,1,0,15,2,hay_meadow,8,2019,Linda_Weggler,59,16,1.45639886,2019,Linda_Weggler2019
L2_01_2020,L2_01,2,1,0,15,2,hay_meadow,8,2020,Jakob_Huber,58,17,2.218089638,2020,Jakob_Huber2020
L2_01_2021,L2_01,2,1,0,15,2,hay_meadow,8,2021,Markus_Bauer,56,18,2.64872078,2021,Markus_Bauer2021
L2_02_2018,L2_02,2,1,0,15,4,dry_grassland,8,2018,Jakob_Huber,55.5,7,0.463876369,2018,Jakob_Huber2018
L2_02_2019,L2_02,2,1,0,15,4,dry_grassland,8,2019,Linda_Weggler,62,12,1.237594598,2019,Linda_Weggler2019
L2_02_2020,L2_02,2,1,0,15,4,dry_grassland,8,2020,Jakob_Huber,67.5,20,1.247585273,2020,Jakob_Huber2020
L2_02_2021,L2_02,2,1,0,15,4,dry_grassland,8,2021,Markus_Bauer,53.5,12,1.956497196,2021,Markus_Bauer2021
